1;Mailey;Fred;M60;;00:00;6af4e5e57c9645c176d3ddc0b1ed99cf;113;NEOOC;7003965;E
1;Schuh;Michael;M70;;00:00;65d9b9708c5cb8406d61fa940dce7e31;128;COC;8507405;S
2;Collinsworth;Mitch;M60;;05:00;a5160a65b8c39b477253ac6be7d70a56;103;ROC;8648384;E
2;Viira;Andres;M50;;05:00;56005ebfb12161a9dec756fd4cf5c117;129;P̵rgup̵hja OK;8400609;S
3;Gouin;Lucie;W45;;10:00;783f82b9b6af2490a152d4674e868d0d;107;None;2231680;E
3;Kerns;Kathleen;W65;;10:00;9179ce56e7dcc04eeaca7758e6883009;112;MTHD;1800859;S
4;Hart;Michael;M60;;15:00;b4b24b92cf490ce81797bfc20a204588;111;LAOC;1421760;E
4;Nelson;Michael;M50;;15:00;d72b128b4e7cf41b58d023508c999db8;120;None;2231682;S
5;Moore;Scott;M60;;20:00;9fb4165989acf3d3a1b789d55bdc545c;116;LAOC;338989;E
5;Papathanasopoulos;Anthony;M19;;20:00;20a1eab4a8e373e906ed508444af030e;121;None;2231683;S
6;Nelson;Melissa;W55;;25:00;450622c11d14a60d5b596be98002bc64;119;None;2231681;E
6;Nasybulin;Eduard;M21;;25:00;2c00a300979116f4670676a5bc7dc340;118;None;7207970;S
7;Woodward;Roland;M60;;30:00;52040e0bc37c332ac7317f57b446e920;130;BGR;2231708;E
7;Harker;Kenneth;M50;;30:00;76c144a77f35bf339fe8bcf3cae61e35;110;AOC;9102215;S
8;Mezhevaya;Alla;W55;;35:00;7d434c3d0ff61ffa2c09036aef146a81;115;None;2068509;E
8;Craig;Matthew;M50;;35:00;a24c4fce19284814cddcedc121098504;104;BOK;7000530;S
9;Haddow;Robert;M60;;40:00;1cdf0e6f30c50bbf1d96ba48d4a3f050;108;OVMRC;8001371;E
9;Roethe;Brigitte;W65;;40:00;df98375a98da0ebc0afe7005b7fa95d6;124;DARC Germany;236449;S
10;Danilov;Evgeny;M60;;45:00;c182a592c34eb60d6aa3a18c4f986129;105;BOK;2114177;E
10;Afonkin;Vadim;M50;;45:00;b712eecec490502ed32323157722c96e;101;CSU;2017848;S
11;Robbins;Matthew;M60;;50:00;e78b1c45db5245e92db7f88a6d3b2c38;123;OCIN;8004417;E
11;Fala;Gheorghe;M21;;50:00;34d92e713f793f036b23b5c7e771732f;106;BOK;8400555;S
12;Hammer;Erin;W35;;55:00;5eb096a7aabfe5106dcd8150a53779cf;109;BOK;2156020;E
12;Roethe;Nicholas;M70;;55:00;ece76226623b268adfca036adf466048;125;RAC Canada;236458;S
13;Schafrath-Craig;Adalia;W19;;60:00;e35aaeabb847a03a6ecc4b37946d176e;126;SMOC;8470477;E
13;Myachin;Alexander;M50;;60:00;9dc45cb0910be24d5254fea213972f71;117;CROC;8543314;S
14;Mejevoi;Nicolai;M60;;65:00;bd59fda74254f3b3c8e56da3613412f8;114;None;7500765;E
14;Scharlau;Nadia;W65;;65:00;863349cefc7fdb507446b450ff23a428;127;BOK;2005018;S
15;Wright;William;M60;;70:00;d2a11c3d4b085a9fad734807de078e50;131;BAOC;46691;E
15;Allen;William;M21;;70:00;bdf28176d7bc8db13fd9f4d78d363af5;102;BOK;8529443;S
